,protocol,t,instances,time,security
0,hybrid,33554432,100,0.0479325,smt
1,bucket,33554432,100,0.0387407,smt
2,exponent,33554432,100,0.0238526,smt
3,hybrid,33554432,100,0.0450697,smt
4,bucket,33554432,100,0.0379596,smt
5,exponent,33554432,100,0.0239976,smt
6,hybrid,33554432,100,0.0434177,smt
7,bucket,33554432,100,0.037949,smt
8,exponent,33554432,100,0.0300612,smt
9,hybrid,33554432,100,0.0463157,smt
10,bucket,33554432,100,0.0378024,smt
11,exponent,33554432,100,0.0307725,smt
12,hybrid,33554432,100,0.0435783,smt
13,bucket,33554432,100,0.037155,smt
14,exponent,33554432,100,0.0235022,smt
15,hybrid,33554432,100,0.0442413,smt
16,bucket,33554432,100,0.0373422,smt
17,exponent,33554432,100,0.0325463,smt
18,hybrid,33554432,100,0.0452483,smt
19,bucket,33554432,100,0.037097,smt
20,exponent,33554432,100,0.0238821,smt
